2Dmemory	2Dmemory<br>二度半存储器
multiimage	multiimage<br>多重图象
multipanel	multipanel<br>多屏
multiregion operation (MRO)	multiregion operation (MRO)<br>多区域操作
multisegment index	multisegment index<br>多段［节］索引
multispecification source map	multispecification source map<br>多重说明源映象
multitasking operating system	multitasking operating system<br>多任务操作系统;［多事物作业系统］
multiuser	multiuser<br>【修】多用户的
multiuser system	multiuser system<br>多用户系统
MUMPS	MUMPS<br>MUMPS语言
Murray code	Murray code<br>莫瑞码
mutex	mutex<br>互斥(法)
mutex semaphore	mutex semaphore<br>互斥通信法
muting	muting<br>噪声抑制
mutual exclusion	mutual exclusion<br>互斥(法,原理)
mutual information	mutual information<br>交互信息;［共同资讯］同transinformation content。\n
mutually suspicious	mutually suspicious
mutually synchronized network	mutually synchronized network<br>互同步网络
MVS	MVS<br>多重虚存系统
MVS/370	MVS/370<br>多重虚存系统/370
MVS/ESA	MVS/ESA<br>企业系统体系结构的多重虚存系统
MVS page fault assist	MVS page fault assist<br>MVS缺页后援部件
MVS/SP	MVS/SP<br>多重虚拟存储系统/系统(程序)产品
MVS/SP Version 3	MVS/SP Version 3<br>第三版多重虚存操作系统
MVS/XA	MVS/XA<br>扩充体系结构的多重虚存系统
MVT	MVT<br>可变任务数多道程序设计系统
Mylar	Mylar<br>聚酯薄膜
moutofn code	moutofn code<br>n中取m码;［M输出N码］
n	
N	N<br>记录数目
NAK	NAK<br>否定应答字符;［不认可字元］
name	name<br>名(字);［名称］
name block (NAM)	name block (NAM)<br>名字块;［名称块］
name constant (NCON)	name constant (NCON)<br>名字常数;［名称常数］
named common block	named common block<br>命名公用块
named data	named data<br>命名数据;［命名资料］
named pipes	named pipes<br>命名管道
named system	named system<br>命名系统
name entry	name entry<br>名表目;［名称记录］
name qualification	name qualification<br>名字限定;［名称限定］
name recognizer	name recognizer<br>名字识别程序
name space	name space<br>名字空间;［名称空间］
namedefined parameter	namedefined parameter<br>名定参数
NAND	NAND<br>“与非”;［“反及”］
NAND element	NAND element<br>“与非”元件;［“反及”元件］
NAND gate	NAND gate<br>“与非”门;［“反及”闸］同NAND element。\n
nanoinstruction	nanoinstruction
nanomemory	nanomemory<br>纳［毫微］存储器;［毫微记忆器］
nanoprocessor	nanoprocessor<br>纳秒(级)处理机
nanoprogram	nanoprogram<br>纳［毫微］程序;［毫微程式］
nanoprogram memory	nanoprogram memory<br>纳［毫微］程序存储器;［毫微程式记忆器］
nanosecond	nanosecond<br>纳秒;［末秒,毫微秒］
nanosecond circuit	nanosecond circuit<br>纳(诺)秒电路;［末秒电路］
narrowband	narrowband<br>窄(频)带
narrow band channel	narrow band channel<br>窄带信道
NAT	NAT<br>奈特
National Bureau of Standards	National Bureau of Standards<br>国家标准局
national character	national character<br>国家特有字符
national circuit	national circuit<br>国内电路
national requirement	national requirement<br>国家特有要求
National Requirements feature	National Requirements feature<br>国家特有要求功能部件
native attachment	native attachment<br>本机配件
native character set	native character set<br>本机字符集;［本机字元集］
native code	native code<br>本机代码
native collating sequence	native collating sequence<br>本机排列顺序
native compiler	native compiler<br>本机编译程序;［本机编译器］
native language	native language<br>本机语言
native mode	native mode<br>本机方式;［本机模态］
native network	native network<br>原网
natural binary	natural binary<br>自然二进制;［自然二进位］
natural binary code	natural binary code<br>自然二进制码;［自然二进码］
natural binarycoded decimal system	natural binarycoded decimal system<br>自然二进制编码的十进制;［自然二进码十进数系统］
natural language	natural language<br>自然语言
natural number	natural number<br>自然数
natural unit of information content	natural unit of information content<br>信息量的自然单位
naturalfunction generator	naturalfunction generator<br>自然函数发生器;［自然函数产生器］
NAU	NAU<br>网络可寻［编］址单元
NAU services	NAU services<br>NAU服务程序
NAU services manager layer	NAU services manager layer<br>NAU服务管理层
navigational access method	navigational access method<br>导向存取法;［导航接达法］
NBS	NBS<br>国家标准局
NBS	NBS<br>数字退格符;［数字退格字元］
NC	NC<br>数字［值］控制
NC	NC<br>网络控制;［网路控制］
NCB	NCB<br>网络连接块;［网路连接块］
NCCF	NCCF<br>网络通信控制程序;［网路通信控制设施］
NC language processor	NC language processor<br>数值控制语言处理器
NCON	NCON<br>名字常数;［名称常数］
NCP	NCP<br>网络控制程序;［网路控制程式］
NCP/VS	NCP／VS<br>虚拟存储网络控制程序;［虚储存技艺网路控制程式］
NC system	NC system<br>数字控制系统;［数值控制系统］
NDC	NDC<br>规格化设备坐标；［正常化设备坐标］
NDM	NDM<br>正常断开方式；［脱接状态］
NDR	NDR<br>非破坏性读;［非破坏性阅读］
NDRO	NDRO<br>非破坏性读出
nearest active upstream neighbor (NAUN)	nearest active upstream neighbor (NAUN)<br>最近上游活动站
nearend crosstalk	nearend crosstalk<br>近端串话［音］
NEAT system	NEAT system<br>国家电子自动编码技术系统
necessary bandwidth	necessary bandwidth<br>必要带宽
needle	needle<br>探针;针
needle printer	needle printer<br>针式打印机;［针式印字机］
needtoknow	needtoknow<br>须知(原则)
negate	negate<br>【动】“非”,求反;［“反”］
negate instruction	negate instruction<br>求补指令
negation	negation<br>“非”;［“反”］
negation element	negation element<br>“非”元件;［“反”元件］
negation first variable	negation first variable<br>第一变量“非”;鄣谝槐涫胺础保br>A logic operation that is “true” if the first of two inputs is “false” and “false” if it is “true”.
negation gate	negation gate<br>非门;［反闸］
negation second variable	negation second variable<br>第二变量“非”;［第二变数“反”］
negative	negative<br>【修】否(定)，负的；负片；“非”
negative acknowledge character (NAK)	negative acknowledge character (NAK)<br>否定应答字符;［否认字元］
negative acknowledgement	negative acknowledgement<br>否定应答;［否认］
negative AignoreB gate	negative AignoreB gate<br>与B无关的A“非”门;［与B 无关的A “反”闸］
negative BignoreA gate	negative BignoreA gate<br>与A无关的B“非”门;［与A无关的B“反”闸］见negative AignoreB gate。\n
negative disclosure	negative disclosure
negative entry	negative entry<br>负输入;［负登录］
negative feedback	negative feedback<br>负反馈
negative ignore gate	negative ignore gate<br>无关“非”门;［无关“反”闸］
negative indication	negative indication<br>负指示见negative indicator。\n
negative indicator	negative indicator
negative logic	negative logic<br>负逻辑
negative polling limit	negative polling limit<br>否定轮询极限
negative poll response	negative poll response<br>否定轮询应答
negative response	negative response<br>否定应答
negativetrue logic	negativetrue logic<br>负真逻辑
negator	negator<br>“非”门；［“反”闸］
negentropy	negentropy<br>负熵，负平均信息量
negotiable BIND	negotiable BIND<br>可协商连通请求
neighbour	neighbour<br>邻系统
neighbourhood effect	neighbourhood effect<br>邻近效应
neithernor operation	neithernor operation<br>“或非”运算；［负反或运算］同nondisjunction。\n
neper	neper
nest	nest<br>【动】嵌套；［巢套］
nested command	nested command<br>嵌套命令［巢套命令］
nested conditional instruction	nested conditional instruction<br>嵌套条件指令；［巢套条件指令］
nested macrocalls	nested macrocalls<br>嵌套宏调用；［堆巢巨呼叫］
nested macros	nested macros<br>嵌套宏指令；［堆巢巨指令］
nested routine	nested routine<br>嵌套程序；［堆巢式常式］
nesting level	nesting level<br>嵌套级；［套级］
nesting loop	nesting loop<br>嵌套循环； ［堆巢环路］
net	net<br>网；【修】
NETBIOS	NETBIOS<br>网络基本输入输出系统
NETCON	NETCON<br>网络控制；［网路控制］
net control station	net control station<br>网络控制站
net information content	net information content<br>净信息内容；［净资讯内容］
netkey	netkey<br>网络密钥
net structure	net structure<br>网状结构
NetView	NetView<br>网窗(软件)
network	network<br>网络；［网路］
network access control	network access control<br>网络访问控制(任务)；［网路接达控制］
